sj,age,gender,income,hol1,hol2,hol3,hol4,hol_tot,constr1,constr2,IQ ,BCIS,BCIS_SC,BCIS_SR
25,22,1,80000.00,6.1667,3.1667,5.5,4.5,4.83335,4.3333,3,105,6,0,6
26,23,0,150000.00,6.3333,4.5,4.1667,6.1667,5.291675,5.4167,4.1667,105,6,2,4
27,19,0,70000.00,4.5,3.8333,4.1667,3.5,4,4,5.5,118,29,10,19
28,26,0,60000.00,2.3333,4,6,4.1667,4.125,4.4167,4.4167,99,14,3,11
29,24,1,50000.00,2.8333,6,4,5.3333,4.54165,6.6667,2.8333,109,28,13,15
30,26,1,50000.00,5,5.1667,6.6667,4.3333,5.291675,4.5,4.75,109,21,3,18
31,23,1,,3.6667,3.3333,6.1667,4.3333,4.375,4.5833,6.0833,122,30,12,18
32,29,1,50000.00,4.3333,4.1667,5.3333,6,4.958325,3.4167,5.9167,102,26,12,14
33,28,0,80000.00,4.5,5.1667,5.8333,4.5,5,4.0833,5.0833,94,19,6,13
34,22,1,35000.00,4.8333,3.8333,5,3.6667,4.333325,4.1667,3.9167,99,28,11,17
35,20,1,50000.00,5,6.1667,6.1667,3.5,5.20835,4,5.5833,102,26,8,18
36,25,1,45000.00,4.1667,4.3333,5,4,4.375,4.8333,5.8333,91,13,7,6
37,18,0,80000.00,7,3.8333,5.3333,5,5.29165,5.4167,3.5833,94,16,5,11
38,24,0,80000.00,4.8333,4.5,5.5,4.5,4.833325,5.5833,3.75,105,17,1,16
39,25,1,60000.00,4.8333,5.3333,4.3333,5.3333,4.9583,4.8333,5.4167,86,27,8,19
40,21,1,30000.00,7,4.6667,6.1667,4.5,5.58335,5.0833,6.1667,105,26,8,18
41,23,1,40000.00,5.5,6,4,4.6667,5.041675,5.6667,3.8333,105,20,5,15
42,26,0,60000.00,5.5,5.1667,3.3333,4,4.5,3.75,5.4167,99,14,3,11
43,21,1,80000.00,3.6667,4,6.1667,4,4.45835,4.8333,5.0833,112,15,2,13
44,22,1,25000.00,5.6667,4.5,3.6667,3.8333,4.416675,2.75,6,92,28,5,23
45,25,1,18000.00,3.5,5.5,4.1667,5.6667,4.70835,5,4.8333,105,18,2,16
46,22,1,100000.00,5,6,4.8333,6,5.458325,4.5,5,112,24,7,17
47,25,1,90000.00,6.6667,5.3333,4,5.8333,5.458325,4.6667,5.5833,97,17,7,10
48,18,1,80000.00,4.6667,4.1667,4.6667,5.1667,4.6667,5.5833,4.5,109,17,4,13
49,24,0,60000.00,5.8333,3.6667,2.8333,4.3333,4.16665,4.6667,5,127,27,8,19
50,22,0,60000.00,4.6667,4,3.5,5,4.291675,5,5.8333,94,13,7,6
51,21,1,1250000.00,4.3333,3.5,6,5,4.708325,5,5.0833,99,23,7,16
52,19,0,120000.00,5.8333,4.5,6.3333,5.1667,5.458325,4.25,2.6667,94,23,4,19
53,21,1,100000.00,6.3333,4,6.1667,2,4.625,5.3333,5.5,118,17,5,12
54,20,1,100000.00,3.8333,3.6667,5.3333,5.5,4.583325,3.8333,4.0833,102,19,9,10
55,18,0,160000.00,5,2.8333,5.6667,4.8333,4.583325,4.5417,5.0833,99,18,6,12
56,28,0,30000.00,5.3333,4.8333,5,4,4.79165,4.3333,4.9167,91,18,10,8
57,25,0,20000.00,5.1667,5.1667,4,5,4.83335,4.7083,4.8333,92,21,9,12
58,20,1,40000.00,3.8333,4.5,3.3333,5,4.16665,4.5833,4.5,97,16,6,10
59,21,0,30000.00,4.5,4.5,3.5,4.8333,4.333325,4.875,4.4167,96,31,11,20
60,21,0,80000.00,3.3333,5.3333,4.3333,5.5,4.624975,4.9167,4.5833,99,22,13,9
61,22,0,50000.00,4.5,3.8333,5.3333,4.6667,4.583325,5.5,5.5,112,24,10,14
62,19,0,120000.00,4.8333,5,3.8333,4.8333,4.624975,5.25,4.75,102,28,7,21
63,21,1,55000.00,5.5,2.8333,5.6667,4.5,4.625,4.3333,4.8333,97,22,10,12
64,23,0,100000.00,5,3.5,6.3333,4,4.708325,4.9583,4.5,112,21,4,17
65,23,1,25000.00,4.8333,5,4.8333,3.6667,4.583325,4.7083,4.5,99,14,4,10
66,22,0,200000.00,6.5,5.8333,5.1667,4,5.375,5.5833,5.6667,102,23,11,12
67,19,1,200000.00,4.6667,5.1667,3.5,6.1667,4.875025,4.8333,4.75,99,28,10,18
68,22,0,200000.00,4.6667,3.3333,5.3333,4.1667,4.375,4.625,5.8333,118,21,11,10
69,24,1,100000.00,6.5,2.8333,4.5,4.3333,4.54165,4.5833,4.5833,127,25,8,17
70,18,0,35000.00,4.5,5.1667,5.8333,4.5,5,4.4583,4.0833,91,18,6,12
71,21,1,40000.00,4.5,4.3333,3.6667,4.8333,4.333325,4.6667,4.6667,91,34,16,18
72,21,1,40000.00,4.6667,5.3333,4.8333,5.6667,5.125,4.8333,5,109,16,8,8
73,19,1,32000.00,3.8333,4.5,6.1667,3.3333,4.458325,4.1667,3.3333,91,20,3,17
74,30,0,,6,4,3.5,6.6667,5.041675,6.6667,7,76,27,15,12
75,29,0,40000.00,7,5.1667,4.3333,4.1667,5.166675,5.0417,4.5,94,15,7,8
76,21,0,40000.00,4.1667,3.6667,4.1667,6.6667,4.6667,5.0417,5.5,84,20,9,11
79,21,1,180000.00,3,2.6667,4,4.6667,3.58335,4.7917,6.3333,118,22,11,11
